"env","plant","harv","lat","lon","block","row","col","gen","yield"
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,32,1,"G001",5525
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,13,2,"G001",4380
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,13,3,"G001",4795
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,6,1,"G002",5860
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,18,2,"G002",5185
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,18,3,"G002",5270
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,27,1,"G003",5375
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,8,2,"G003",4985
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,8,3,"G003",5090
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,36,1,"G004",4480
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,17,2,"G004",4215
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,17,3,"G004",4090
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,1,1,"G011",6170
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,4,2,"G011",4755
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,4,3,"G011",4800
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,2,1,"G013",6050
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,5,2,"G013",4640
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,5,3,"G013",5635
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,19,1,"G018",5295
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,31,2,"G018",5295
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,31,3,"G018",5415
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,33,1,"G019",5420
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,14,2,"G019",5035
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,14,3,"G019",5085
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,16,1,"G025",5885
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,28,2,"G025",5730
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,28,3,"G025",5490
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,17,1,"G027",4225
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,29,2,"G027",3610
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,29,3,"G027",3860
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,9,1,"G038",5170
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,21,2,"G038",5370
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,21,3,"G038",5565
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,28,1,"G039",5085
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,9,2,"G039",4555
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,9,3,"G039",5045
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,26,1,"G040",5165
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,7,2,"G040",4600
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,7,3,"G040",5180
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,35,1,"G041",5005
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,16,2,"G041",4450
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,16,3,"G041",4305
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,30,1,"G043",5705
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,11,2,"G043",5115
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,11,3,"G043",5685
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,31,1,"G044",4355
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,12,2,"G044",3840
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,12,3,"G044",3775
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,7,1,"G047",5300
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,19,2,"G047",5045
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,19,3,"G047",5105
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,8,1,"G048",4215
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,20,2,"G048",3930
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,20,3,"G048",4540
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,10,1,"C049",5660
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,22,2,"C049",5500
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,22,3,"C049",5570
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,11,1,"G050",4800
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,23,2,"G050",4765
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,23,3,"G050",5595
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,12,1,"G051",6010
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,24,2,"G051",5440
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,24,3,"G051",5805
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,13,1,"G052",5560
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,25,2,"G052",5195
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,25,3,"G052",5505
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,14,1,"G053",5210
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,26,2,"G053",4845
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,26,3,"G053",5515
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,15,1,"C054",5670
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,27,2,"C054",5660
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,27,3,"C054",5705
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,18,1,"G055",4630
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,30,2,"G055",4715
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,30,3,"G055",4380
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,21,1,"G056",5765
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,33,2,"G056",5630
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,33,3,"G056",5305
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,22,1,"G057",4950
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,34,2,"G057",5725
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,34,3,"G057",5250
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,23,1,"G058",5565
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,35,2,"G058",5600
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,35,3,"G058",5490
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,24,1,"G059",5235
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,36,2,"G059",5225
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,36,3,"G059",5190
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,25,1,"G060",4990
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,6,2,"G060",4430
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,6,3,"G060",5925
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,29,1,"G061",5760
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,10,2,"G061",4620
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,10,3,"G061",5525
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,34,1,"G062",4670
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,15,2,"G062",4385
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,15,3,"G062",4135
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,3,1,"G063",4255
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,1,2,"G063",3425
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,1,3,"G063",3970
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,4,1,"G064",4460
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,2,2,"G064",3930
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,2,3,"G064",4770
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,5,1,"G065",5030
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,3,2,"G065",4235
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,3,3,"G065",4545
"E01","2019-11-21","2020-03-20",-22.197,-52.717,1,20,1,"G066",5095
"E01","2019-11-21","2020-03-20",-22.197,-52.717,2,32,2,"G066",4935
"E01","2019-11-21","2020-03-20",-22.197,-52.717,3,32,3,"G066",4825
"E02","2019-10-26","2020-02-23",-22.2,-52.717,1,31,1,"G001",4403.64
"E02","2019-10-26","2020-02-23",-22.2,-52.717,2,13,2,"G001",4003.85
"E02","2019-10-26","2020-02-23",-22.2,-52.717,3,13,3,"G001",4218.48
"E02","2019-10-26","2020-02-23",-22.2,-52.717,1,6,1,"G002",4070.77
"E02","2019-10-26","2020-02-23",-22.2,-52.717,2,16,2,"G002",3558.5
"E02","2019-10-26","2020-02-23",-22.2,-52.717,3,16,3,"G002",3919.06
"E02","2019-10-26","2020-02-23",-22.2,-52.717,1,26,1,"G003",4273.71
"E02","2019-10-26","2020-02-23",-22.2,-52.717,2,8,2,"G003",4013.33
"E02","2019-10-26","2020-02-23",-22.2,-52.717,3,8,3,"G003",4024.16
"E02","2019-10-26","2020-02-23",-22.2,-52.717,1,1,1,"G011",3280
"E02","2019-10-26","2020-02-23",-22.2,-52.717,2,3,2,"G011",3141.49
"E02","2019-10-26","2020-02-23",-22.2,-52.717,3,3,3,"G011",3419.49
"E02","2019-10-26","2020-02-23",-22.2,-52.717,1,2,1,"G013",3327.07
"E02","2019-10-26","2020-02-23",-22.2,-52.717,2,4,2,"G013",3446
"E02","2019-10-26","2020-02-23",-22.2,-52.717,3,4,3,"G013",3564.52
"E02","2019-10-26","2020-02-23",-22.2,-52.717,1,19,1,"G018",4729.58
"E02","2019-10-26","2020-02-23",-22.2,-52.717,2,29,2,"G018",3871.26
"E02","2019-10-26","2020-02-23",-22.2,-52.717,3,29,3,"G018",3948.51
"E02","2019-10-26","2020-02-23",-22.2,-52.717,1,32,1,"G019",4566.9
"E02","2019-10-26","2020-02-23",-22.2,-52.717,2,14,2,"G019",3738.88
"E02","2019-10-26","2020-02-23",-22.2,-52.717,3,14,3,"G019",4027.16
"E02","2019-10-26","2020-02-23",-22.2,-52.717,1,16,1,"G025",4877.13
"E02","2019-10-26","2020-02-23",-22.2,-52.717,2,26,2,"G025",4281.32
"E02","2019-10-26","2020-02-23",-22.2,-52.717,3,26,3,"G025",4532.57
"E02","2019-10-26","2020-02-23",-22.2,-52.717,1,17,1,"G027",3905.65
"E02","2019-10-26","2020-02-23",-22.2,-52.717,2,27,2,"G027",3316.68
